ID,Title,Genre,Year,Director,Actor1,Actor2,Actor3,,,,
1842,Illtown,Drama&Horror,1996,John H. A. Long,James Russo,Kim Director,Bill Sage[,,,,
1843,Slappy and the Stinkers,Comedy&Family,1998,Barry W. Blaustein,Breckin Meyer,Jenna Elfman,Hugh Laurie[,,,,
1844,Live Flesh,Drama&Crime,1997,Alejandro Amenábar,Javier Bardem,Lola Dueñas,Mónica López[,,,,
1845,Zero Effect,Comedy&Drama&Mystery,1998,Jake Kasdan,Tim Allen,Kirstie Alley,Jason Lee[,,,,
1846,Nil by Mouth,Drama&Romance,1997,Gary Oldman,Alica Silverstone,Chloë Sevigny,Kathy Burke[,,,,
1847,Ratchet,Action&Adventure&Science Fiction,1996,Luc Besson,Rupert Everett,Jennifer Connelly,Ian Holm[,,,,
1848,The Borrowers,Adventure&Family&Fantasy,1997,Hugh Laurie,Jamie Harris,Emily Watson,Robert Llewellyn[,,,,
1849,Prince Valiant,Animation&Adventure&Family,1997,Bruce W. Smith,Héctor Elizondo,Jessalyn Gilsig,Scott Cleverdon[,,,,
1850,"I Love You, Don""t Touch Me!",Comedy&Drama,1998,Marco Carmel,Cathy Moriarty,Heather Graham,Sean Young[,,,,
1851,Leather Jacket Love Story,Drama&Romance,1997,Greg Bear,Johnny Messner,Bill Smitrovich,Kathleen Beller[,,,,
1852,Love Walked In,Romance&Drama,1998,Curtis Hanson,Kevin Bacon,Kathy Bates,Charlize Theron[,,,,
1853,"Alan Smithee Film: Burn Hollywood Burn, An",Comedy&Satire&Drama,1997,Alan Smithee,Danny DeVito,Danny Glover,Beverly D'Angelo[,,,,
1854,Kissing a Fool,Comedy&Drama&Romance,1998,Gary Winick,David Schwimmer,Jennifer Aniston,Bill Pullman[,,,,
1855,"Krippendorf""s Tribe",Adventure&Comedy&Drama,1998,Todd Holland,Jeff Bridges,David Arquette,Laura Linney[,,,,
1856,Kurt & Courtney,Documentary&Biography&Drama,1998,Brian Gibson,Kurt Cobain,Courtney Love,Drew Barrymore[,,,,
1857,The Real Blonde,Comedy&Drama&Romance,1997,Joe Roth,Meg Ryan,Tom Hanks,Kristen Dunst[,,,,
1858,Mr. Nice Guy,Comedy&Romance,1997,Brian Herzlinger,Billy Crystal,Meg Ryan,Tom Wilkinson[,,,,
1859,Taste of Cherry,Drama&Foreign,1997,Abbas Kiarostami,Homayoun Ershadi,Alireza Khatami[,,,,,
1860,Character (Karakter),Drama&Romance,1997,Mike van Diem,Raymond Thiry,Johanna ter Steege,Burghart Klaussner[,,,,
1861,Junk Mail,Comedy&Drama,1997,Luke Greenfield,Luke Wilson,Romany Malco,Parker Posey[,,,,
1862,Species II,Horror&Science Fiction&Thriller,1998,Peter Medak,Muir McGill,Justin Lazard,Helena Bonham Carter[,,,,
1863,Major League: Back to the Minors,Comedy&Sports,1998,John Warren,Scott Bakula,Tom Arnold,Jamie Harris[,,,,
1864,Sour Grapes,Comedy&Drama,1998,Colin Brunton,Russell Brand,Alice Eve,Natasha Lyonne[,,,,
1865,Wild Man Blues,Documentary&Music&Comedy,1998,Barbara Kopple,John Goodman,Woody Harrelson,Randy Quaid[,,,,
1866,"Big Hit, The",Action&Comedy&Crime,1998,Kwak Jung-hwan,Kim Sun-a,Cha Seung-won,Jang Hyuk[,,,,
1867,Tarzan and the Lost City,Adventure&Family&Fantasy,1998,Chris Tashima,Alex O'Loughlin,Hayden Panettiere,Christoph Waltz[,,,,
1868,"Truce, The",Drama&War,1996,John Huston,Nick Nolte,Susan Sarandon,Sean Astin[,,,,
1869,Black Dog,Action&Adventure&Drama,1998,Kevin Hooks,Patrick Swayze,Meat Loaf,Jake Busey[,,,,
1870,"Dancer, Texas Pop. 81",Comedy&Drama,1998,David Hollander,Billy Bob Thornton,Kathy Bates,Ben Smith[,,,,
1871,A Friend of the Deceased,Drama&Mystery,1997,Andrzej Żuławski,Vincent Gallo,Sophie Aubin,Romain Goupil[,,,,
1872,Go Now,Drama&Romance,1995,Randal Kleiser,Drew Barrymore,Jeremy Northam,Matt Letscher[,,,,
1873,Les Misérables,Drama&Musical&Romance,1998,Bille August,Libertad Lamarque,John Malkovich,Gérard Depardieu[,,,,
1874,Still Breathing,Drama&Romance,1997,James Ford,Brendan Fletcher,Sarah Strange,Gina Gershon[,,,,
1875,Clockwatchers,Comedy&Drama,1997,Jill Sprecher,Toni Collette,Parker Posey,Lisa Kudrow[,,,,
1876,Deep Impact,Action&Adventure&Drama&Thriller,1998,Roland Emmerich,Robert Duvall,Téa Leoni,Elijah Wood[,,,,
1877,Little Men,Drama&Comedy,1998,Iain Softley,Adam O'Brien,Aidan Quinn,Bonnie Hunt[,,,,
1878,Woo,Comedy&Drama,1998,Jamie Babbit,Jennifer Aniston,Jason Bateman,John Michael Higgins[,,,,
1879,The Hanging Garden,Drama&Romance,1997,Thom Fitzgerald,Shawn Ashmore,Brendan Fletcher,Lothaire Bluteau[,,,,
1880,Lawn Dogs,Drama&Romance,1997,Jonathan Prince,Sam Rockwell,Mischa Barton,Jessica Pare[,,,,
1881,Quest for Camelot,Animation&Adventure&Family,1998,Frederik Du Chau,Jessalyn Gilsig,Cary Elwes,Pierce Brosnan[,,,,
1882,Godzilla,Action&Adventure&Fantasy&Horror,1998,Roland Emmerich,Matthew Broderick,Jeff Goldblum,Viveca Fox[,,,,
1883,Bulworth,Action&Comedy&Drama,1998,Warren Beatty,Halle Berry,Oliver Platt,Don Cheadle[,,,,
1884,Fear and Loathing in Las Vegas,Drama&Adventure&Comedy&Horror,1998,Terry Gilliam,Johnny Depp,Benicio del Toro,Cameron Diaz[,,,,
1885,The Opposite of Sex,Comedy&Drama&Romance,1998,Don Roos,Christina Ricci,Martin Donovan,Lisa Kudrow[,,,,
1886,I Got the Hook Up,Comedy,1998,Darren Grant,Mike Epps,Bill Bellamy,Katt Williams[,,,,
1887,Almost Heroes,Comedy&Adventure&History,1998,Christopher Guest,Matthew Perry,Bruce McCulloch,Eugene Levy[,,,,
1888,Hope Floats,Drama&Romance,1998,Forest Whitaker,Sandra Bullock,Harry Connick Jr,Gena Rowlands[,,,,
1889,Insomnia,Crime&Drama&Mystery,1997,Christopher Nolan,Al Pacino,Robin Williams,Hilary Swank[,,,,
1890,Little Boy Blue,Drama&Family,1997,J. Michael McClendon,Macaulay Culkin,Jean LOyd,Billy Jayne[,,,,
1891,The Ugly,Drama&Romance,1997,Jonathan Lynn,Gwyneth Paltrow,John Goodman,Hank Azaria[,,,,
1892,A Perfect Murder,Crime&Drama&Mystery&Thriller,1998,Andrew Davis,Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,,,,
1893,Beyond Silence,Drama&Romance,1996,German Kral,Franka Potente,Benno Fürmann,Johanna Wokalek[,,,,
1894,Six Days Seven Nights,Romance&Adventure&Comedy,1998,Ivan Reitman,Harrison Ford,Anne Heche,Viggo Mortensen,,,,
1895,"Can""t Hardly Wait",Comedy&Romance,1998,Deborah Kaplan,Jennifer Love Hewitt,Ethan Embry,Charlie Korsmo[,,,,
1896,Cousin Bette,Drama&Romance,1998,Claire Burke,Jodie Foster,Kristin Scott Thomas,Hugh Bonneville[,,,,
1897,High Art,Drama&Romance,1998,Lassally Oore,Ally Sheedy,Radha Mitchell,Patricia Clarkson[,,,,
1898,"Land Girls, The",Drama&Romance,1998,Mike Newell,Samantha Morton,Natascha McElhone,Lena Headey[,,,,
1899,Passion in the Desert,Drama&Romance,1998,John Huston,Robert Mitchum,Susan Sarandon,Brad Pitt[,,,,
1900,"Children of Heaven, The (Bacheha-Ye Aseman)",Drama&Family,1997,Majid Majidi,Hamid Farokhnezhad,Mohammad Amir Naji,Maryiam Palizban[,,,,
1901,Dear Jesse,Drama&Romance,1997,Lewis John Carlino,Robert De Niro,Gwyneth Paltrow,Hilary Swank[,,,,
1902,Dream for an Insomniac,Drama&Romance,1996,Jonathan Prince,Ione Skye,Fairuza Balk,Jeff Goldblum[,,,,
1903,Hav Plenty,Drama&Romance,1997,Christine LaPado-Bregstein,Gina Rowlands,Halle Berry,Lance Henriksen[,,,,
1904,Henry Fool,Comedy&Drama,1997,Hal Hartley,Thomas Jay Ryan,James Urbaniak,Parker Posey[,,,,
1905,Marie Baie Des Anges,Drama&Romance,1997,Vincent Perez,Laetitia Casta,Sandrine Bonnaire,Jacques Gamblin[,,,,
1906,Mr. Jealousy,Comedy&Drama,1997,Eric Schaeffer,Hugh Grant,Kate Beckinsale,David Schwimmer[,,,,
1907,Mulan,Animation&Adventure&Drama&Family,1998,Barry Cook&Tony Bancroft,Ming-Na Wen,B.D. Wong,Pat Morita[,,,,
1908,Resurrection Man,Action&Adventure&Fantasy&Science Fiction,1998,Russell Mulcahy,Arnold Schwarzenegger,Rachel Ticotin,Lindsey Morgan[,,,,
1909,The X-Files: Fight the Future,Science Fiction&Thriller,1998,Chris Carter,David Duchovny,Gillian Anderson,Martin Landau[,,,,
1910,I Went Down,Drama&Romance,1997,Jamie Babbit,Jennifer Aniston,Jay Mohr,Nicole Ari Parker[,,,,
1911,Doctor Dolittle,Adventure&Family&Fantasy&Musical,1998,Betty Thomas,Eddie Murphy,Kristin Davis,Lisa Kudrow[,,,,
1912,Out of Sight,Crime&Comedy&Romance&Thriller,1998,Steven Soderbergh,George Clooney,Jennifer Lopez,Ving Rhames,,,,
1913,Picnic at Hanging Rock,Drama&Mystery&Romance&Thriller,1975,Peter Weir,Rachel Ward,Karin Foley,Vivean Gray[,,,,
1914,Smoke Signals,Comedy&Drama,1998,Chris Eyre,Wes Studi,Alexie Gilmore,Evan Adams[,,,,
1915,Voyage to the Beginning of the World,Adventure&Family&Fantasy,1997,Brad Peyrot,Jim Broadbent,Nigel Hawthorne,Samantha Morton[,,,,
1916,Buffalo '66,Crime&Drama&Romance,1998,Vincent Gallo,Christina Ricci,Anjelica Huston, Mickey Rourke[,,,,
1917,Armageddon,Action&Adventure&Science Fiction&Thiller,1998,Michael Bay,Ben Affleck,Bruce Willis,Steve Buscemi,,,,
1918,Lethal Weapon 4,Action&Comedy&Crime&Adventure,1998,Richard Donner,Mel Gibson,Danny Glover,Joseph L. LoCicero[,,,,
1919,Madeline,Animation&Adventure&Comedy&Family,1998,Haresh Deol,Hope Levy,Christina Ricci,James Cromwell[,,,,
1920,Small Soldiers,Action&Adventure&Comedy&Family,1998,Joe Dante,Kevin Dunn,Kirsten Dunst,David Arquette[,,,,
1921,Pi,Drama&Horror&Mystery&Thriller,1998,Darren Aronofsky,Sean Gullette,Mark Margolis,Paz Vega[,,,,
1922,Whatever,Drama&Romance,1998,Caroline Link,Elisabeth Shue,Jessica Alba,Scott Coffey[,,,,
1923,"There""s Something About Mary",Comedy&Romance&Drama,1998,Peter Farrelly,Cameron Diaz,Ben Stiller,Matt Dillon[,,,,
1924,Plan 9 from Outer Space,Science Fiction&Horror,1958,Ed Wood Jr,Gregory Walcott,Murray Hamilton,Vampira[,,,,
1925,Wings,Drama&Romance,1927,William A. Wellman,Clara Bow,"Charles ""Buddy"" Rogers",Richard Arlen[,,,,
1926,"Broadway Melody, The",Musical&Romance,1929,Charles Reisner,Bessie Love,Eddie Cantor,George Sidney[,,,,
1927,All Quiet on the Western Front,Drama&War,1930,Lewis Milestone,Louis Wolheim,Lew Ayres,John Wray[,,,,
1928,Cimarron,Drama&History,1931,Wesley Ruggles,Richard Dix,Irene Dunne,Estelle Taylor[,,,,
1929,Grand Hotel,Drama&Romance,1932,Edmund Goulding,Greta Garbo,John Barrymore,Wallace Beery[,,,,
1930,Cavalcade,Drama&History&Romance,1933,Frank Lloyd,Diana Wynyard,Clive Brook,Una Merkel[,,,,
1931,Mutiny on the Bounty,Adventure&Drama&History,1935,Frank Lloyd,Charles Laughton,Clark Gable,MGM[,,,,
1932,The Great Ziegfeld,Biography&Drama&Musical&Romance,1936,Robert Z. Leonard,William Powell,Myrna Loy,Jean Hersholt[Inst],,,,
1933,"Life of Émile Zola, The",Biography&Drama,1937,William Dieterle,Paul Muni,Gloria Stuart,Joseph Schildkraut,,,,
1934,"You Can""t Take It With You",Comedy&Drama,1938,Frank Capra,Jean Arthur,James Stewart,Lionel Barrymore[,,,,
1935,How Green Was My Valley,Drama&History,1941,John Ford,Roddy McDowall,Howard Da Silva,Katharine Hepburn[,,,,
1936,Mrs. Miniver,Drama&Romance,1942,William Wyler,Greer Garson,Walter Pidgeon,Teresa Wright,,,,
1937,Going My Way,Drama&Musical,1944,Leo McCarey,Bing Crosby,Barry Fitzgerald,Risk Stevens[,,,,
1938,The Lost Weekend,Drama,1945,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry[,,,,
1939,"Best Years of Our Lives, The",Drama&War,1946,William Wyler,Myrna Loy,Fredric March,Dana Andrews[,,,,
1940,"Gentleman""s Agreement",Drama&Romance,1947,Elia Kazan,Gregory Peck,Dorothy McGuire,John Garfield[,,,,
1941,Hamlet,Drama&Thriller,1948,Laurence Olivier,Laurence Olivier,Gregory Peck,Vivien Leigh[,,,,
1942,All the King's Men,Drama&History,1949,Robert Rossen,Broderick Crawford,John Derek,Mercedes McCambridge[,,,,
1943,The Greatest Show on Earth,Drama&Adventure&Romance,1952,Cecil B. DeMille,Charlton Heston,Betty Hutton,James Stewart[,,,,
1944,From Here to Eternity,Drama&Romance,1953,Fred Zinnemann,Burt Lancaster,Deborah Kerr,Montgomery Clift[,,,,
1945,On the Waterfront,Drama&Crime,1954,Elia Kazan,Marlon Brando,Eva Marie Saint,Lee Cobb[,,,,
1946,Marty,Drama&Romance,1955,Delbert Mann,Ernest Borgnine,Betsy Blair,Jerome Cowan,,,,
1947,West Side Story,Musical&Drama&Romance&Thriller,1961,Jerome Robbins&Robert Wise&Steven Spielberg,Natalie Wood,Richard Beymer,Russ Tamblyn[,,,,
1948,Tom Jones,Biography&Drama&Music,1963,Tony Richardson,Albert Finney,Kathryn Grayson,Tom Jones[,,,,
1949,A Man for All Seasons,Biography&Drama&History,1966,Robert Bolt,Paul Scofield,Leanard Rossiter,Wendy Hiller[,,,,
1950,In the Heat of the Night,Crime&Drama,1967, Norman Jewison,Sidney Poitier,Rod Steiger,Lee Grant[,,,,
1951,Oliver!,Musical&Drama,1968,Carol Reed,Mark Lester,Oliver Reed,Ron Moody[,,,,
1952,Midnight Cowboy,Drama&Romance,1969,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles[,,,,
1953,The French Connection,Action&Crime&Drama,1971,William Friedkin,Gene Hackman,Roy Scheider,Tony Lo Bianco[,,,,
1954,Rocky,Drama&Sports,1976,John G. Avildsen,Sylvester Stallone,Talia Shire,Burgess Meredith,,,,
1955,Kramer Vs. Kramer,Drama&Family,1979,Robert Benton,Dustin Hoffman,Meryl Streep,Justin Henry[,,,,
1956,Ordinary People,Drama&Family,1980,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,,,,
1957,Chariots of Fire,Drama&History&Sport,1981,Hugh Hudson,Ben Cross,Ian Charleson,Nigel Havers[,,,,
1958,Terms of Endearment,Drama&Romance,1983,James L. Brooks,Shirley MacLaine,Debra Winger,Jack Nicholson,,,,
1959,Out of Africa,Drama&Romance,1985,Sydney Pollack,Meryl Streep,Robert Redford,Klaus Maria Brandauer[,,,,
1960,The Last Emperor,Biography&Drama&History,1987,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole[,,,,
1961,Rain Man,Drama&Family,1988,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino[,,,,
1962,Driving Miss Daisy,Drama&Comedy,1989,Bruce Beresford,Jessica Tandy,Morgan Freeman,Estelle Parsons,,,,
1963,Take the Money and Run,Comedy&Crime&Romance,1969,Woody Allen,Woody Allen,Janet Margolin,Elliott Gould[,,,,
1964,Klute,Drama&Mystery&Thriller,1971,Alfred Hitchcock,Jane Fonda,Donald Sutherland,Charles Gray[,,,,
1965,Repo Man,Science Fiction&Action&Comedy,1984,Alex Cox,Emilio Estevez,Harry Dean Stanton,Olivia Barash[TT],,,,
1966,Metropolitan,Comedy&Drama&Romance,1990,Whit Stillman,Taylor Nichols,Chloë Sevigny,Carolyn Farina,,,,
1967,Labyrinth,Fantasy&Adventure&Drama&Musical,1986,Jim Henson,David Bowie,Jennifer Connelly,Toby Froud[,,,,
1968,The Breakfast Club,Drama&Romance&Coming-of-age,1985,John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy,,,
1969,"Nightmare on Elm Street Part 2: Freddy""s Revenge, A",Horror&Thriller,1985,Jack Sholder,Robert Englund,Mark Patton,Kelly Jo Minter[,,,,
1970,"Nightmare on Elm Street 3: Dream Warriors, A",Horror&Third Installment,1987,Chuck Russell,Heather Langenkamp,Robert Englund,Jennifer Rubin,,,,
1971,"Nightmare on Elm Street 4: The Dream Master, A",Horror&Thriller,1988,Renny Harlin,Robert Englund,Lisa Wilcox,Danny Hassel[,,,,
1972,"Nightmare on Elm Street 5: The Dream Child, A",Horror&Thriller&Fantasy&Suspense,1989,Renny Harlin,Robert Englund,Lisa Wilcox,Danny Hassel[,,,,
1973,Freddy's Dead: The Final Nightmare,Horror&Nightmare,1991,Rachel Talalay,John Saxon,Lisa Zane,Robert Englund[,,,,
1974,Friday the 13th,Horror&Slasher,1980,Sean S. Cunningham,Jason Voorhees,Kevin Bacon,Friday the 13th[,,,,
1975,Friday the 13th Part 2,Horror&Slasher,1981,Steve Miner,Jason Voorhees,Ari Lehman,Adrienne King[,,,,
1976,Friday the 13th Part 3: 3D,Horror&Slasher&3D,1982,Steve Miner,Dana Kimmell,Tracie Savage,Craig Wasson[,,,,
1977,Friday the 13th: The Final Chapter,Horror&Slasher,1984,Joseph Zito,Jensen Daggett,Kirsten Baker,Craig Wasson[,,,,
1978,Friday the 13th Part V: A New Beginning,Horror&Slasher,1985,Danny Steinmann,Jason Voorhees,Melanie Kinnaman,John Shepherd,,,,
1979,Friday the 13th Part VI: Jason Lives,Horror&Slasher,1986,Tom McLoughlin,Kari Keegan,Dick Wieand,Campbell Scott[,,,,
1980,Friday the 13th Part VII: The New Blood,Horror&Slasher,1988,John Carl Buechler,Jason Voorhees,Lisa Wilcox,Danny Miller[,,,,
1981,Friday the 13th Part VIII: Jason Takes Manhattan,Horror&Slasher,1989,Rob Hedden,Jensen Daggett,Kari Keegan,Kane Hodder[,,,,
1982,Halloween,Horror&Thriller,1978,John Carpenter,Jamie Lee Curtis,Donald Pleasence,Nick Castle[,,,,
1983,Halloween II,Horror&Thriller,1981,Rick Rosenthal,Jamie Lee Curtis,Donald Pleasence,Virginia Madsen[,,,,
1984,Halloween III: Season of the Witch,Horror&Thriller,1983,John Carpenter,Tom Atkins,Stacey Nelkin,Dan O'Herlihy[,,,,
1985,Halloween 4: The Return of Michael Myers,Horror&Thriller,1988,Dwight H. Little,Donald Pleasence,Jamie Lee Curtis,Bradford Tatum[,,,,
1986,Halloween 5: The Revenge of Michael Myers,Horror&Thriller,1989,Dominique Othenin-Girard,Donald Pleasence,Danielle Harris,Jeffrey Landman[,,,,
1987,Prom Night,Horror&Mystery&Thriller,1980,Paul Lynch,Jamie Lee Curtis,Leslie Nielsen,Casey Stevens[,,,,
1988,Hello Mary Lou: Prom Night II,Horror&Thriller,1987,Bruce Pittman,Michael Ironside,Lisa Schrage,Justin Louis[,,,,
1989,Prom Night III: The Last Kiss,Horror,1989,Paul Winterbottom,Michael Brandon,Jamie Lee</STEXT>,,,,,
1990,Prom Night IV: Deliver Us From Evil,Horror&Thriller,1992,Robert Lee King,Jamie Harris,Jennifer Love Hewitt,Seth Green[,,,,
1991,Child's Play,Horror&Thriller,1988,Tom Holland,Catherine Hicks,Chris Sarandon,Alex Vincent[,,,,
1992,Child's Play 2,Horror&Thriller,1990,John Lafia,Brad Dourif,Catherine Hicks,Chris Sarandon[,,,,
1993,Child's Play 3,Horror&Thriller,1992,Michael A. Simpson,Brad Dourif,Jennifer Tilly,Gina Philips[,,,,
1994,Poltergeist,Horror&Supernatural&Thriller,1982,Tobe Hooper,Craig T. Nelson,Dominique Dunne,Heather O'Rourke[,,,,
1995,Poltergeist II: The Other Side,Horror&Mystery&Thiller,1986,Brian Gibson,Craig T. Nelson,JoBeth Williams,Oliver Robins[,,,,
1996,Poltergeist III,Horror&Thriller,1988,Patrick Flueger,Craig T. Nelson,JoBeth Williams,Heather O'Rourke[,,,,
1997,The Exorcist,Horror&Drama,1973,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair[,,,,
1998,Exorcist II: The Heretic,Horror&Drama&Mystery&Thriller,1977,John Boorman,Richard Burton,Linda Blair,Luciano Pavarotti[,,,,
1999,"Exorcist III, The",Horror&Mystery&Thriller,1990,William Peter Blatty,George C. Scott,Edward Herrmann,Kathy Bates[,,,,
2000,Lethal Weapon,Action&Crime&Comedy,1987,Richard Donner,Mel Gibson,Danny Glover,Gary Busey[,,,,
2001,Lethal Weapon 2,Action&Comedy&Crime&Fantasy&Thriller,1989,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci[,,,,
2002,Lethal Weapon 3,Action&Comedy&Crime,1992,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci[,,,,
2003,Gremlins,Horror&Comedy&Fantasy&Family,1984,Joe Dante,Zach Galligan,Gizmo,Phoebe Cates[,,,,
2004,Gremlins 2: The New Batch,Horror&Comedy&Fantasy&Adventure,1990,Joe Dante,Zach Galligan,Phoebe Cates,Christopher Lee[,,,,
2005,"Goonies, The",Adventure&Family&Fantasy&Action,1985,Richard Donner,Sean Astin,Corey Feldman,Jeff Cohen[,,,,
2006,The Mask of Zorro,Action&Adventure&Romance,1998,Martin Campbell,Antonio Banderas,Catherine Zeta-Jones,Anthony Hopkins[,,,,
2007,Polish Wedding,Comedy&Drama,1998,Joanna Pacula,Jeremy Piven,Lena Olin,Gabriel Byrne[,,,,
2008,"This World, Then the Fireworks",Drama&Romance,1996,Michael Apted,Jonathan Jackson,Kathleen Beller,Bruce Davison[,,,,
2009,Soylent Green,Science Fiction&Drama&Thriller,1973,Richard Fleischer,Charlton Heston,Leonard Rossiter,Edward G. Robinson[,,,,
2010,Metropolis (1926),Science Fiction&Drama,1926,Friedrich Wilhelm Murnau,null,null,null,,,,
2011,Back to the Future Part II,Science Fiction&Adventure&Comedy&Family,1989,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson[,,,,
2012,Back to the Future Part III,Science Fiction&Adventure&Comedy&Family,1990,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson[,,,,
2013,The Poseidon Adventure,Action&Adventure&Drama&Thriller,1972,Ronald Neame,Gene Hackman,Harrison Ford,Leslie Nielsen[,,,,
2014,Freaky Friday,Comedy&Family,1977,Mark Waters,Jodie Foster,Barbara Harris,John Astin[,,,,
2015,The Absent Minded Professor,Comedy&Family,1961,Roy O. Disney,Fred MacMurray,Nancy Olson,Keenan Wynn[,,,,
2016,The Apple Dumpling Gang Rides Again,Western&Comedy,1979, Norman Fell,Tim Matheson,Don Knotts,Slim Pickens[,,,,
2017,Babes in Toyland,Musical&Comedy&Family,1961,Henry Hathaway,Lauren Bacall,Martha Raye,Tommy Sands[,,,,
2018,Bambi,Animation&Drama&Family,1942,David Hand,Hardy Krüger,Thumper,Felix Larkin[,,,,
2019,Seven Samurai (The Magnificent Seven),Action&Adventure&Drama&Western,1954,Akira Kurosawa,Toshirô Mifune,Yôko Tsukasa,Masayuki Mori[,,,,
2020,Dangerous Liaisons,Drama&Romance,1988,Stephen Frears,Glenn Close,John Malkovich,Michelle Pfeiffer,,,,
2021,Dune,Science Fiction&Adventure&Drama,1984,David Lynch,Kyle MacLachlan,Francesca Annis,Jürgen Prochnow[,,,,
2022,The Last Temptation of Christ,Drama&Religion,1988,Martin Scorsese,Harvey Keitel,Willem Dafoe,Barbara Hershey[,,,,
2023,The Godfather: Part III,Crime&Drama&History,1990,Francis Ford Coppola,Winona Ryder,Vincent Gardenia,Diane Keaton[,,,,
2024,The Rapture,Drama&Mystery&Thriller,1991,Michael Carter,Morgan Freeman,Jim Carrey,Doberman Arc[,,,,
2025,Lolita,Drama&Romance&Thriller,1997,Adrian Lyne,Jeremy Irons,Dominique Swain,Christopher Lloyd[,,,,
2026,Disturbing Behavior,Horror&Mystery&Thriller,1998,David Nutter,James Marsden,Katie Holmes,Nicolas Cage[,,,,
2027,Mafia!,Crime&Comedy&Drama,1998,Luc Besson,Nicolas Cage,Sarah Jessica Parker,Christopher Walken[,,,,
2028,Saving Private Ryan,Drama&History&War,1998,Steven Spielberg,Tom Hanks,Matt Damon,Vin Diesel[,,,,
2029,"Billy""s Hollywood Screen Kiss",Comedy&Drama&Romance,1997,Roger Michell,Sean Penn,Aidan Quinn,Susan Sarandon,Kate Bosworth[,,,
2030,East Palace West Palace (Dong gong xi gong),Drama&Romance,1997,Zhang Yimou,Gong Li,Jing Gang Shibo,Liu Xiaoqing[,,,,
2031,"$1,000,000 Duck",Animation&Comedy&Family,1971,Roy Rogers,Don Knotts,Tim Conway,Dick Van Patten[,,,,
2032,The Barefoot Executive,Comedy&Drama,1971,Robert F. Simon,Judy Carne,Jeff Bridges,John Houseman,,,,
2033,The Black Cauldron,Animation&Adventure&Fantasy&Horror,1985,Ted Berman,"Voices of: Robby Benson, Jesse Witten, G.H. Berlin, Arthur Malet",Kelly Preston[,,,,,
2034,The Black Hole,Science Fiction&Adventure&Family,1979,Gary Nelson,Maximilian Schell,Robert Forster,Joseph Bottoms[,,,,
2035,"Blackbeard""s Ghost",Comedy&Fantasy&Romance,1968,Bob Sweeney,Peter Ustinov,Helen Hayes,Jonathan Winters[,,,,
2036,Blank Check,Comedy&Family,1994, Rupert Wainwright,Macaulay Culkin,Jim Carrey,Jean Louisa Kelly[,,,,
2037,Candleshoe,Adventure&Family,1977,John Huston,Jodie Foster,Leo McKern,Michael Caine,,,,
2038,The Cat from Outer Space,Animation&Adventure&Family,1978,Rudy Larriva,Ray Owens,Chuck McCann,Desiree Goyette[,,,,
2039,Cheetah,Action&Adventure,1989,Bill Forsyth,Gerard Butler,Christopher Bowen,Kenneth Cranham,,,,
2040,The Computer Wore Tennis Shoes,Comedy,1970,Kurt Russell,Walt Disney,Jerry Rees[,,,,,
2041,Condorman,Action&Adventure&Comedy&Romance,1981,Charles Nelson Reilly,Oliver Reed,Daliah Lavi,Michael Crawford,,,,
2042,D2: The Mighty Ducks,Adventure&Comedy&Family,1994,Sam Weisman,Emilio Estevez,Joss Ackland,Lane Smith,,,,
2043,Darby O'Gill and the Little People,Adventure&Comedy&Family,1959,Hal Kanter,Sean Connery,Alfred Lynch,June Thorburn[,,,,
2044,The Devil and Max Devlin,Drama&Thriller,1981,Joe Dante,Tommy Lee Jones,Jenny Agutter,Robert Vaughn,,,,
2045,A Far Off Place,Adventure&Drama&Family,1993,Mikael Salomon,Sidney Poitier,Liam Cunningham,Alice Krige[,,,,
2046,Flight of the Navigator,Science Fiction&Adventure&Family,1986,R Randal Kleiser,Joey Cramer,Paul Reubens,Veronica Cartwright,,,,
2047,"Gnome-Mobile, The",Adventure&Comedy&Family&Fantasy,1967,Roy Rogers,Patricia Crowley,Darby Hinton,Walter Brennan,,,,
2048,The Great Mouse Detective,Animation&Adventure&Family,1986,Bill Campbell,Sherlock Holmes,Basil Rathbone,Godfried Regalo[,,,,
2049,The Happiest Millionaire,Comedy&Drama&Family,1967,Walt Disney,John Smith,Jane Doe,Bobby Driscoll[,,,,
2050,Herbie Goes Bananas,Adventure&Comedy&Family,1980,Roy Glenn Sr.,Helen Hayes,Stefanie Scott,Jimmy Osmond[,,,,
2051,Herbie Goes to Monte Carlo,Comedy&Family&Adventure,1977,Roy Sorenson,Helen Hayes,Stefanie Powers,John Stacy Edwards,,,,
